IDCliente,Genero,Jubilado,Casado,Dependientes,Permanencia_Meses,Telefonia,MutlipleLineas,Internet,SeguridadOnline,CopiaSeguridadLinea,SeguroDispositivo,Soporte,StreamingTV,StreamingMovies,TipoContrato,ReciboOnline,MetodoPago,MontoPlan,MontoTotal,Churn
7590-VHVEG,Mujer,No,Si,No,1,No,Sin servicio telefonia,DSL,No,Si,No,No,No,No,Mensual,Si,Cheque,29.85,29.85,No
5575-GNVDE,Hombre,No,No,No,34,Si,No,DSL,Si,No,Si,No,No,No,Un año,No,Pago efectivo,56.95,1889.5,No
3668-QPYBK,Hombre,No,No,No,2,Si,No,DSL,Si,Si,No,No,No,No,Mensual,Si,Pago efectivo,53.85,108.15,Si
7795-CFOCW,Hombre,No,No,No,45,No,Sin servicio telefonia,DSL,Si,No,Si,Si,No,No,Un año,No,Transferencia bancaria,42.3,1840.75,No
9237-HQITU,Mujer,No,No,No,2,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque,70.7,151.65,Si
9305-CDSKC,Mujer,No,No,No,8,Si,Si,Fibra optica,No,No,Si,No,Si,Si,Mensual,Si,Cheque,99.65,820.5,Si
1452-KIOVK,Hombre,No,No,Si,22,Si,Si,Fibra optica,No,Si,No,No,Si,No,Mensual,Si,Tarjeta de credito,89.1,1949.4,No
6713-OKOMC,Mujer,No,No,No,10,No,Sin servicio telefonia,DSL,Si,No,No,No,No,No,Mensual,No,Pago efectivo,29.75,301.9,No
7892-POOKP,Mujer,No,Si,No,28,Si,Si,Fibra optica,No,No,Si,Si,Si,Si,Mensual,Si,Cheque,104.8,3046.05,Si
6388-TABGU,Hombre,No,No,Si,62,Si,No,DSL,Si,Si,No,No,No,No,Un año,No,Transferencia bancaria,56.15,3487.95,No
9763-GRSKD,Hombre,No,Si,Si,13,Si,No,DSL,Si,No,No,No,No,No,Mensual,Si,Pago efectivo,49.95,587.45,No
7469-LKBCI,Hombre,No,No,No,16,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Tarjeta de credito,18.95,326.8,No
8091-TTVAX,Hombre,No,Si,No,58,Si,Si,Fibra optica,No,No,Si,No,Si,Si,Un año,No,Tarjeta de credito,100.35,5681.1,No
0280-XJGEX,Hombre,No,No,No,49,Si,Si,Fibra optica,No,Si,Si,No,Si,Si,Mensual,Si,Transferencia bancaria,103.7,5036.3,Si
5129-JLPIS,Hombre,No,No,No,25,Si,No,Fibra optica,Si,No,Si,Si,Si,Si,Mensual,Si,Cheque,105.5,2686.05,No
3655-SNQYZ,Mujer,No,Si,Si,69,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Dos años,No,Tarjeta de credito,113.25,7895.15,No
8191-XWSZG,Mujer,No,No,No,52,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Pago efectivo,20.65,1022.95,No
9959-WOFKT,Hombre,No,No,Si,71,Si,Si,Fibra optica,Si,No,Si,No,Si,Si,Dos años,No,Transferencia bancaria,106.7,7382.25,No
4190-MFLUW,Mujer,No,Si,Si,10,Si,No,DSL,No,No,Si,Si,No,No,Mensual,No,Tarjeta de credito,55.2,528.35,Si
4183-MYFRB,Mujer,No,No,No,21,Si,No,Fibra optica,No,Si,Si,No,No,Si,Mensual,Si,Cheque,90.05,1862.9,No
8779-QRDMV,Hombre,Si,No,No,1,No,Sin servicio telefonia,DSL,No,No,Si,No,No,Si,Mensual,Si,Cheque,39.65,39.65,Si
1680-VDCWW,Hombre,No,Si,No,12,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Transferencia bancaria,19.8,202.25,No
1066-JKSGK,Hombre,No,No,No,1,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Pago efectivo,20.15,20.15,Si
3638-WEABW,Mujer,No,Si,No,58,Si,Si,DSL,No,Si,No,Si,No,No,Dos años,Si,Tarjeta de credito,59.9,3505.1,No
6322-HRPFA,Hombre,No,Si,Si,49,Si,No,DSL,Si,Si,No,Si,No,No,Mensual,No,Tarjeta de credito,59.6,2970.3,No
6865-JZNKO,Mujer,No,No,No,30,Si,No,DSL,Si,Si,No,No,No,No,Mensual,Si,Transferencia bancaria,55.3,1530.6,No
6467-CHFZW,Hombre,No,Si,Si,47,Si,Si,Fibra optica,No,Si,No,No,Si,Si,Mensual,Si,Cheque,99.35,4749.15,Si
8665-UTDHZ,Hombre,No,Si,Si,1,No,Sin servicio telefonia,DSL,No,Si,No,No,No,No,Mensual,No,Cheque,30.2,30.2,Si
5248-YGIJN,Hombre,No,Si,No,72,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Dos años,Si,Tarjeta de credito,90.25,6369.45,No
8773-HHUOZ,Mujer,No,No,Si,17,Si,No,DSL,No,No,No,No,Si,Si,Mensual,Si,Pago efectivo,64.7,1093.1,Si
3841-NFECX,Mujer,Si,Si,No,71,Si,Si,Fibra optica,Si,Si,Si,Si,No,No,Dos años,Si,Tarjeta de credito,96.35,6766.95,No
4929-XIHVW,Hombre,Si,Si,No,2,Si,No,Fibra optica,No,No,Si,No,Si,Si,Mensual,Si,Tarjeta de credito,95.5,181.65,No
6827-IEAUQ,Mujer,No,Si,Si,27,Si,No,DSL,Si,Si,Si,Si,No,No,Un año,No,Pago efectivo,66.15,1874.45,No
7310-EGVHZ,Hombre,No,No,No,1,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Transferencia bancaria,20.2,20.2,No
3413-BMNZE,Hombre,Si,No,No,1,Si,No,DSL,No,No,No,No,No,No,Mensual,No,Transferencia bancaria,45.25,45.25,No
6234-RAAPL,Mujer,No,Si,Si,72,Si,Si,Fibra optica,Si,Si,No,Si,Si,No,Dos años,No,Transferencia bancaria,99.9,7251.7,No
6047-YHPVI,Hombre,No,No,No,5,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque,69.7,316.9,Si
6572-ADKRS,Mujer,No,No,No,46,Si,No,Fibra optica,No,No,Si,No,No,No,Mensual,Si,Tarjeta de credito,74.8,3548.3,No
5380-WJKOV,Hombre,No,No,No,34,Si,Si,Fibra optica,No,Si,Si,No,Si,Si,Mensual,Si,Cheque,106.35,3549.25,Si
8168-UQWWF,Mujer,No,No,No,11,Si,Si,Fibra optica,No,No,Si,No,Si,Si,Mensual,Si,Transferencia bancaria,97.85,1105.4,Si
8865-TNMNX,Hombre,No,Si,Si,10,Si,No,DSL,No,Si,No,No,No,No,Un año,No,Pago efectivo,49.55,475.7,No
9489-DEDVP,Mujer,No,Si,Si,70,Si,Si,DSL,Si,Si,No,No,Si,No,Dos años,Si,Tarjeta de credito,69.2,4872.35,No
